ID	Gene Symbol
merck2-AA460707_x_at	PPP3CA
merck2-AA460967_at	SLITRK4
merck2-AA463285_at	RRAGB
merck2-AA467937_at	ACPP
merck2-AA469929_at	
merck2-AA471082_at	
merck2-AA477200_at	FAM78A
merck2-AA477200_x_at	FAM78A
merck2-AA479831_at	C3orf23
merck2-AA480862_at	STS
merck2-AA481616_at	
merck2-AA482207_at	UIMC1
merck2-AA482465_a_at	RIT1
merck2-AA483091_at	ATXN10
merck2-AA484891_at	
merck2-AA485078_at	ARID4B
merck2-AA487118_at	LMO4
merck2-AA490328_at	PRDM15
merck2-AA496028_at	
merck2-AA502942_a_at	CTSZ
merck2-AA505357_at	
merck2-AA505369_at	
merck2-AA505369_s_at	
merck2-AA514227_at	
merck2-AA514227_x_at	
merck2-AA521015_at	
merck2-AA521401_at	
merck2-AA521425_at	PALLD
merck2-AA521433_at	
merck2-AA521450_at	
merck2-AA523419_at	DNAJC12
merck2-AA528513_at	UGGT1
merck2-AA530983_a_at	AKT3
merck2-AA531017_at	
merck2-AA532820_at	
merck2-AA532824_at	
merck2-AA533630_a_at	ZNF639
merck2-AA533630_at	
merck2-AA534881_at	BZW2
merck2-AA535345_at	MPRIP
merck2-AA536214_at	
merck2-AA551214_a_at	MBNL1
merck2-AA554134_at	ZBTB40
merck2-AA565508_at	TNS4
merck2-AA568819_at	
merck2-AA568928_a_at	GTPBP5
merck2-AA570419_at	
merck2-AA570419_x_at	
merck2-AA576132_at	INSR
merck2-AA576451_a_at	SORD
merck2-AA576451_at	
merck2-AA576487_at	YKT6
merck2-AA576624_at	TMEM66
merck2-AA581414_at	DHX29
merck2-AA583040_at	
merck2-AA586953_at	GALNT6
merck2-AA588144_at	
merck2-AA588208_s_at	
merck2-AA588285_at	WNK1
merck2-AA588285_x_at	WNK1
merck2-AA588529_at	
merck2-AA593737_at	
merck2-AA594151_x_at	
merck2-AA594489_at	BLVRA
merck2-AA599197_at	POSTN
merck2-AA602384_at	AQP2
merck2-AA604317_at	
merck2-AA604617_at	ZNF512
merck2-AA604922_at	
merck2-AA608653_at	
merck2-AA608653_x_at	
merck2-AA608973_at	
merck2-AA609219_at	
merck2-AA612673_s_at	LOC100170939
merck2-AA614384_at	SOD1
merck2-AA614574_at	
merck2-AA620732_at	LOC100506291
merck2-AA620860_a_at	
merck2-AA621382_at	CYB5B
merck2-AA621986_a_at	TMEM50A
merck2-AA622265_at	LOC100507718 LOC100509457
merck2-AA622425_at	
merck2-AA628336_at	
merck2-AA629276_at	
merck2-AA629282_at	LOC100505490
merck2-AA632510_at	
merck2-AA634441_a_at	REEP1
merck2-AA639731_at	
merck2-AA640271_x_at	
merck2-AA643322_at	
merck2-AA643502_at	
merck2-AA643520_at	
merck2-AA648256_at	SLC9B2
merck2-AA652310_at	CALM1
merck2-AA653609_at	
merck2-AA661461_at	LOC100288366
merck2-AA662179_at	
merck2-AA663088_at	ANTXR1
merck2-AA664657_at	
merck2-AA664657_x_at	VIM
merck2-AA669142_at	
merck2-AA670216_at	APBA1
merck2-AA676819_at	
merck2-AA677426_at	
merck2-AA677426_s_at	
merck2-AA687968_at	SPTY2D1
merck2-AA687968_x_at	SPTY2D1
merck2-AA693422_at	CAMK2D
merck2-AA693422_x_at	CAMK2D
merck2-AA693424_a_at	TRIM50
merck2-AA699463_at	PRNP
merck2-AA700628_at	
merck2-AA702700_at	AADAC
merck2-AA706322_at	
merck2-AA706724_at	CD109
merck2-AA707145_a_at	WHSC1
merck2-AA708231_at	
merck2-AA708231_x_at	
merck2-AA713494_x_at	
merck2-AA721239_at	GLIPR1
merck2-AA722606_at	RBFOX2
merck2-AA722645_at	SOX2
merck2-AA723953_at	SGCD
merck2-AA724318_s_at	
merck2-AA724878_a_at	PRPSAP1
merck2-AA729218_at	KDM5B
merck2-AA729218_x_at	KDM5B
merck2-AA731294_at	
merck2-AA732461_at	HIPK3
merck2-AA732526_s_at	PPIE PPIEL
merck2-AA733167_x_at	
merck2-AA738241_at	LOC100506610
merck2-AA740325_a_at	GNB1
merck2-AA742591_at	
merck2-AA742979_at	FAM91A1
merck2-AA742979_x_at	FAM91A1
merck2-AA743020_at	EGLN1
merck2-AA743174_at	CLINT1
merck2-AA745982_a_at	FAS
merck2-AA748578_at	
merck2-AA748830_at	NIPA2
merck2-AA749078_at	
merck2-AA757585_at	
merck2-AA757585_x_at	
merck2-AA758689_at	SKIL
merck2-AA759283_at	IL1R1
merck2-AA760692_at	MAP2
merck2-AA766554_a_at	OSBPL11
merck2-AA767290_at	
merck2-AA769079_at	LINC00094
merck2-AA769331_at	
merck2-AA771801_at	HSF1
merck2-AA771882_a_at	SDCBP
merck2-AA772239_at	LPL
merck2-AA774410_x_at	
merck2-AA774547_s_at	
merck2-AA775751_at	
merck2-AA775751_s_at	
merck2-AA776725_a_at	RANGAP1
merck2-AA776845_a_at	TRIM23
merck2-AA776845_at	
merck2-AA778837_at	CYFIP1
merck2-AA780043_at	UBE3B
merck2-AA781305_at	ARL3
merck2-AA781420_at	NAE1
merck2-AA782125_at	NEURL
merck2-AA782950_at	WDR27
merck2-AA805066_at	SHOC2
merck2-AA805066_x_at	SHOC2
merck2-AA805639_at	CD72
merck2-AA806102_at	TTC39C
merck2-AA806194_at	THAP4
merck2-AA806703_at	UBE2F
merck2-AA807061_at	
merck2-AA807384_at	DNAJC18
merck2-AA808942_at	
merck2-AA810601_at	
merck2-AA811157_s_at	
merck2-AA811256_at	
merck2-AA811256_x_at	
merck2-AA811590_at	PPWD1
merck2-AA812559_at	WBP2NL
merck2-AA812732_at	ATXN7L1
merck2-AA814193_at	
merck2-AA814554_at	
merck2-AA815447_at	CACNA2D3
merck2-AA825724_at	GPR113
merck2-AA826176_at	
merck2-AA826281_x_at	ABCA1
merck2-AA826860_at	NDE1
merck2-AA826933_at	
merck2-AA827918_at	RASSF2
merck2-AA830380_at	DTX2
merck2-AA830837_at	SSH2
merck2-AA831467_at	ARHGAP5
merck2-AA832284_a_at	UBE2J1
merck2-AA838643_at	
merck2-AA843195_at	
merck2-AA843323_at	MDH1
